student_id,term,subject,score
S2013,Term2,History,53.4
S2013,Term2,Computer Science,83.8
S2013,Term2,Economics,74.6
S2013,Term2,Biology,87.6
S2013,Term3,Math,72.5
S2013,Term3,English,70.0
S2013,Term3,Science,66.9
S2013,Term3,History,84.6
S2013,Term3,Computer Science,68.6
S2013,Term3,Economics,61.3
S2013,Term3,Biology,75.3
S2014,Term1,Math,52.9
S2014,Term1,English,38.3
S2014,Term1,Science,48.0
S2014,Term1,History,38.0
S2014,Term1,Computer Science,40.2
S2014,Term1,Economics,52.7
S2014,Term1,Biology,40.1
S2014,Term2,Math,51.1
S2014,Term2,English,66.9
S2014,Term2,Science,78.7
S2014,Term2,History,52.3
S2014,Term2,Computer Science,73.0
S2014,Term2,Economics,62.1
S2014,Term2,Biology,61.9
S2014,Term3,Math,56.8
S2014,Term3,English,51.4
S2014,Term3,Science,57.6
S2014,Term3,History,44.1
S2014,Term3,Computer Science,73.6
S2014,Term3,Economics,48.2
S2014,Term3,Biology,46.5
S2015,Term1,Math,66.8
S2015,Term1,English,71.1
S2015,Term1,Science,51.1
S2015,Term1,History,59.0
S2015,Term1,Computer Science,58.0
S2015,Term1,Economics,53.3
S2015,Term1,Biology,63.6
S2015,Term2,Math,57.4
S2015,Term2,English,68.6
S2015,Term2,Science,62.8
S2015,Term2,History,63.8
S2015,Term2,Computer Science,56.5
S2015,Term2,Economics,60.0
S2015,Term2,Biology,43.3
S2015,Term3,Math,80.0
S2015,Term3,English,76.3
S2015,Term3,Science,71.1
S2015,Term3,History,72.1
S2015,Term3,Computer Science,79.7
S2015,Term3,Economics,72.7
S2015,Term3,Biology,69.2
S2016,Term1,Math,50.5
S2016,Term1,English,72.4
S2016,Term1,Science,67.5
S2016,Term1,History,65.2
S2016,Term1,Computer Science,66.5
S2016,Term1,Economics,67.4
S2016,Term1,Biology,69.5
S2016,Term2,Math,78.6
S2016,Term2,English,84.5
S2016,Term2,Science,52.1
S2016,Term2,History,67.4
S2016,Term2,Computer Science,66.0
S2016,Term2,Economics,64.4
S2016,Term2,Biology,56.0
S2016,Term3,Math,42.6
S2016,Term3,English,52.4
S2016,Term3,Science,70.2
S2016,Term3,History,49.6
S2016,Term3,Computer Science,54.0
S2016,Term3,Economics,76.7
S2016,Term3,Biology,64.6
S2017,Term1,Math,72.0
S2017,Term1,English,70.0
S2017,Term1,Science,56.3
S2017,Term1,History,68.3
S2017,Term1,Computer Science,47.9
S2017,Term1,Economics,53.1
S2017,Term1,Biology,62.6
S2017,Term2,Math,64.5
S2017,Term2,English,73.7
S2017,Term2,Science,77.8
S2017,Term2,History,68.1
S2017,Term2,Computer Science,63.6
S2017,Term2,Economics,69.8
S2017,Term2,Biology,53.0
S2017,Term3,Math,80.8
S2017,Term3,English,75.9
S2017,Term3,Science,75.2
S2017,Term3,History,72.2
S2017,Term3,Computer Science,71.3
S2017,Term3,Economics,72.6
S2017,Term3,Biology,73.4
S2018,Term1,Math,72.9
S2018,Term1,English,72.2
S2018,Term1,Science,59.3
S2018,Term1,History,67.3
S2018,Term1,Computer Science,63.3
S2018,Term1,Economics,87.2
S2018,Term1,Biology,58.1
S2018,Term2,Math,81.7
S2018,Term2,English,75.6
S2018,Term2,Science,66.8
S2018,Term2,History,69.4
S2018,Term2,Computer Science,81.3
S2018,Term2,Economics,77.7
S2018,Term2,Biology,81.8
S2018,Term3,Math,58.2
S2018,Term3,English,67.4
S2018,Term3,Science,68.8
S2018,Term3,History,69.2
S2018,Term3,Computer Science,57.4
S2018,Term3,Economics,57.2
S2018,Term3,Biology,80.6
S2019,Term1,Math,59.7
S2019,Term1,English,62.1
S2019,Term1,Science,48.0
S2019,Term1,History,79.8
S2019,Term1,Computer Science,53.7
S2019,Term1,Economics,63.1
S2019,Term1,Biology,78.0
S2019,Term2,Math,49.0
S2019,Term2,English,60.0
S2019,Term2,Science,66.3
S2019,Term2,History,64.0
S2019,Term2,Computer Science,88.2
S2019,Term2,Economics,57.2
S2019,Term2,Biology,72.9
S2019,Term3,Math,82.9
S2019,Term3,English,94.7
S2019,Term3,Science,90.8
S2019,Term3,History,97.1
S2019,Term3,Computer Science,94.2
S2019,Term3,Economics,84.0
S2019,Term3,Biology,81.8
S2020,Term1,Math,67.3
S2020,Term1,English,75.3
S2020,Term1,Science,58.0
S2020,Term1,History,76.8
S2020,Term1,Computer Science,74.9
S2020,Term1,Economics,71.6
S2020,Term1,Biology,74.2
S2020,Term2,Math,71.7
S2020,Term2,English,67.6
S2020,Term2,Science,63.9
S2020,Term2,History,62.7
S2020,Term2,Computer Science,60.4
S2020,Term2,Economics,68.6
S2020,Term2,Biology,73.5
S2020,Term3,Math,55.4
S2020,Term3,English,54.2
S2020,Term3,Science,49.3
S2020,Term3,History,64.2
S2020,Term3,Computer Science,46.9
S2020,Term3,Economics,68.1
S2020,Term3,Biology,73.8
S2021,Term1,Math,42.7
S2021,Term1,English,56.1
S2021,Term1,Science,56.2
S2021,Term1,History,60.8
S2021,Term1,Computer Science,62.9
S2021,Term1,Economics,59.3
S2021,Term1,Biology,60.2
S2021,Term2,Math,78.3
S2021,Term2,English,73.5
S2021,Term2,Science,71.8
S2021,Term2,History,78.3
S2021,Term2,Computer Science,66.7
S2021,Term2,Economics,75.4
S2021,Term2,Biology,65.2
S2021,Term3,Math,24.9
S2021,Term3,English,45.9
S2021,Term3,Science,52.7
S2021,Term3,History,41.9
S2021,Term3,Computer Science,36.8
S2021,Term3,Economics,59.1
S2021,Term3,Biology,45.4
S2022,Term1,Math,56.9
S2022,Term1,English,56.3
S2022,Term1,Science,80.3
S2022,Term1,History,65.1
S2022,Term1,Computer Science,80.6
S2022,Term1,Economics,71.3
S2022,Term1,Biology,70.1
S2022,Term2,Math,77.6
S2022,Term2,English,68.9
S2022,Term2,Science,75.8
S2022,Term2,History,71.7
S2022,Term2,Computer Science,77.5
S2022,Term2,Economics,62.5
S2022,Term2,Biology,71.0
S2022,Term3,Math,67.7
S2022,Term3,English,92.6
S2022,Term3,Science,72.3
S2022,Term3,History,75.6
S2022,Term3,Computer Science,64.1
S2022,Term3,Economics,66.7
S2022,Term3,Biology,69.0
S2023,Term1,Math,64.1
S2023,Term1,English,90.0
S2023,Term1,Science,83.8
S2023,Term1,History,84.7
S2023,Term1,Computer Science,87.1
S2023,Term1,Economics,70.7
S2023,Term1,Biology,97.7
S2023,Term2,Math,64.3
S2023,Term2,English,55.4
S2023,Term2,Science,55.9
S2023,Term2,History,67.8
S2023,Term2,Computer Science,63.4
S2023,Term2,Economics,56.5
S2023,Term2,Biology,48.9
S2023,Term3,Math,57.9
S2023,Term3,English,54.7
S2023,Term3,Science,57.4
S2023,Term3,History,43.8
S2023,Term3,Computer Science,53.8
S2023,Term3,Economics,44.2
S2023,Term3,Biology,66.6
S2024,Term1,Math,57.5
S2024,Term1,English,72.9
S2024,Term1,Science,71.5
S2024,Term1,History,60.4
S2024,Term1,Computer Science,60.2
S2024,Term1,Economics,67.2
S2024,Term1,Biology,67.6
S2024,Term2,Math,48.5
S2024,Term2,English,70.6
S2024,Term2,Science,45.0
S2024,Term2,History,71.4
S2024,Term2,Computer Science,60.3
S2024,Term2,Economics,58.2
S2024,Term2,Biology,77.0
S2024,Term3,Math,70.9
S2024,Term3,English,66.3
S2024,Term3,Science,83.8
S2024,Term3,History,64.5
S2024,Term3,Computer Science,76.1
S2024,Term3,Economics,73.0
S2024,Term3,Biology,71.6
S2025,Term1,Math,48.7
S2025,Term1,English,55.9
S2025,Term1,Science,58.2
S2025,Term1,History,63.6
S2025,Term1,Computer Science,60.3
S2025,Term1,Economics,48.5
S2025,Term1,Biology,61.5
S2025,Term2,Math,66.3
S2025,Term2,English,61.1
S2025,Term2,Science,53.3
S2025,Term2,History,69.0
S2025,Term2,Computer Science,50.7
S2025,Term2,Economics,48.3
S2025,Term2,Biology,69.9
S2025,Term3,Math,90.4
S2025,Term3,English,76.4
S2025,Term3,Science,83.4
S2025,Term3,History,56.4
S2025,Term3,Computer Science,98.7
S2025,Term3,Economics,85.1
S2025,Term3,Biology,84.3
S2026,Term1,Math,74.5
S2026,Term1,English,66.3
S2026,Term1,Science,57.9
S2026,Term1,History,64.3
S2026,Term1,Computer Science,69.6
S2026,Term1,Economics,85.5
S2026,Term1,Biology,58.4
S2026,Term2,Math,68.7
S2026,Term2,English,68.9
S2026,Term2,Science,64.2
S2026,Term2,History,74.6
S2026,Term2,Computer Science,71.6
S2026,Term2,Economics,78.7
S2026,Term2,Biology,86.2
S2026,Term3,Math,65.5
S2026,Term3,English,68.8
S2026,Term3,Science,60.8
S2026,Term3,History,52.4
S2026,Term3,Computer Science,63.3
S2026,Term3,Economics,57.7
S2026,Term3,Biology,67.5
S2027,Term1,Math,77.0
S2027,Term1,English,91.3
S2027,Term1,Science,75.2
S2027,Term1,History,83.3
S2027,Term1,Computer Science,75.7
S2027,Term1,Economics,76.5
S2027,Term1,Biology,99.0
S2027,Term2,Math,53.2
S2027,Term2,English,63.3
S2027,Term2,Science,79.4
S2027,Term2,History,61.8
S2027,Term2,Computer Science,62.9
S2027,Term2,Economics,54.0
S2027,Term2,Biology,50.2
S2027,Term3,Math,46.7
S2027,Term3,English,41.2
S2027,Term3,Science,60.8
S2027,Term3,History,47.8
S2027,Term3,Computer Science,48.0
S2027,Term3,Economics,62.8
S2027,Term3,Biology,49.5
S2028,Term1,Math,75.2
S2028,Term1,English,68.3
S2028,Term1,Science,64.0
S2028,Term1,History,61.1
S2028,Term1,Computer Science,84.3
S2028,Term1,Economics,64.3
S2028,Term1,Biology,79.0
S2028,Term2,Math,78.8
S2028,Term2,English,64.7
S2028,Term2,Science,65.7
S2028,Term2,History,76.9
S2028,Term2,Computer Science,52.6
S2028,Term2,Economics,63.1
S2028,Term2,Biology,44.8
S2028,Term3,Math,78.8
S2028,Term3,English,72.9
S2028,Term3,Science,75.8
S2028,Term3,History,69.9
S2028,Term3,Computer Science,64.8
S2028,Term3,Economics,71.5
S2028,Term3,Biology,70.2
S2029,Term1,Math,56.1
S2029,Term1,English,64.2
S2029,Term1,Science,62.5
S2029,Term1,History,66.0
S2029,Term1,Computer Science,45.6
S2029,Term1,Economics,49.3
S2029,Term1,Biology,52.1
S2029,Term2,Math,67.1
S2029,Term2,English,68.0
S2029,Term2,Science,50.1
S2029,Term2,History,55.3
S2029,Term2,Computer Science,80.2
S2029,Term2,Economics,68.7
S2029,Term2,Biology,72.7
S2029,Term3,Math,56.8
S2029,Term3,English,61.4
S2029,Term3,Science,62.3
S2029,Term3,History,72.9
S2029,Term3,Computer Science,53.5
S2029,Term3,Economics,58.9
S2029,Term3,Biology,54.4
S2030,Term1,Math,50.4
S2030,Term1,English,51.7
S2030,Term1,Science,38.6
S2030,Term1,History,43.0
S2030,Term1,Computer Science,53.9
S2030,Term1,Economics,56.6
S2030,Term1,Biology,59.0
S2030,Term2,Math,55.8
S2030,Term2,English,54.6
S2030,Term2,Science,76.4
S2030,Term2,History,45.0
S2030,Term2,Computer Science,67.6
S2030,Term2,Economics,69.1
S2030,Term2,Biology,75.6
S2030,Term3,Math,87.1
S2030,Term3,English,75.3
S2030,Term3,Science,83.4
S2030,Term3,History,78.3
S2030,Term3,Computer Science,72.4
S2030,Term3,Economics,85.2
S2030,Term3,Biology,69.4
S2031,Term1,Math,53.7
S2031,Term1,English,66.4
S2031,Term1,Science,67.0
S2031,Term1,History,77.3
S2031,Term1,Computer Science,64.8
S2031,Term1,Economics,73.2
S2031,Term1,Biology,63.5
S2031,Term2,Math,84.2
S2031,Term2,English,81.8
S2031,Term2,Science,82.4
S2031,Term2,History,91.6
S2031,Term2,Computer Science,84.6
S2031,Term2,Economics,79.7
S2031,Term2,Biology,66.6
S2031,Term3,Math,44.7
S2031,Term3,English,42.2
S2031,Term3,Science,53.1
S2031,Term3,History,44.1
S2031,Term3,Computer Science,46.9
S2031,Term3,Economics,57.2
S2031,Term3,Biology,53.2
S2032,Term1,Math,77.8
S2032,Term1,English,69.6
S2032,Term1,Science,64.8
S2032,Term1,History,83.9
S2032,Term1,Computer Science,74.2
S2032,Term1,Economics,80.4
S2032,Term1,Biology,86.6
S2032,Term2,Math,53.5
S2032,Term2,English,57.9
S2032,Term2,Science,37.0
S2032,Term2,History,39.8
S2032,Term2,Computer Science,49.8
S2032,Term2,Economics,57.2
S2032,Term2,Biology,46.2
S2032,Term3,Math,73.5
S2032,Term3,English,70.7
S2032,Term3,Science,78.6
S2032,Term3,History,71.5
S2032,Term3,Computer Science,81.0
S2032,Term3,Economics,89.3
S2032,Term3,Biology,77.2
S2033,Term1,Math,54.6
S2033,Term1,English,78.3
S2033,Term1,Science,92.6
S2033,Term1,History,73.5
S2033,Term1,Computer Science,96.5
S2033,Term1,Economics,92.2
S2033,Term1,Biology,83.2
S2033,Term2,Math,64.0
S2033,Term2,English,71.4
S2033,Term2,Science,76.5
S2033,Term2,History,77.3
S2033,Term2,Computer Science,69.6
S2033,Term2,Economics,66.3
S2033,Term2,Biology,64.7
S2033,Term3,Math,74.9
S2033,Term3,English,74.5
S2033,Term3,Science,73.3
S2033,Term3,History,55.2
S2033,Term3,Computer Science,71.0
S2033,Term3,Economics,83.7
S2033,Term3,Biology,52.9
S2034,Term1,Math,61.9
S2034,Term1,English,62.1
S2034,Term1,Science,64.1
S2034,Term1,History,54.9
S2034,Term1,Computer Science,54.7
S2034,Term1,Economics,86.8
S2034,Term1,Biology,59.8
S2034,Term2,Math,68.1
S2034,Term2,English,82.6
S2034,Term2,Science,67.7
S2034,Term2,History,59.6
S2034,Term2,Computer Science,71.7
S2034,Term2,Economics,66.9
S2034,Term2,Biology,73.5
S2034,Term3,Math,42.4
S2034,Term3,English,74.2
S2034,Term3,Science,64.2
S2034,Term3,History,54.3
S2034,Term3,Computer Science,69.0
S2034,Term3,Economics,62.1
S2034,Term3,Biology,63.1
S2035,Term1,Math,67.5
S2035,Term1,English,55.2
S2035,Term1,Science,74.6
S2035,Term1,History,61.1
S2035,Term1,Computer Science,71.9
S2035,Term1,Economics,62.4
S2035,Term1,Biology,62.0
S2035,Term2,Math,46.1
S2035,Term2,English,39.0
S2035,Term2,Science,55.2
S2035,Term2,History,62.7
S2035,Term2,Computer Science,49.9
S2035,Term2,Economics,54.6
S2035,Term2,Biology,47.2
S2035,Term3,Math,69.0
S2035,Term3,English,54.7
S2035,Term3,Science,41.8
S2035,Term3,History,58.4
S2035,Term3,Computer Science,80.3
S2035,Term3,Economics,50.6
S2035,Term3,Biology,62.9
S2036,Term1,Math,67.7
S2036,Term1,English,78.4
S2036,Term1,Science,66.9
S2036,Term1,History,71.8
S2036,Term1,Computer Science,73.4
S2036,Term1,Economics,57.6
S2036,Term1,Biology,67.6
S2036,Term2,Math,60.5
S2036,Term2,English,60.7
S2036,Term2,Science,72.4
S2036,Term2,History,64.3
S2036,Term2,Computer Science,60.1
S2036,Term2,Economics,68.1
S2036,Term2,Biology,86.4
S2036,Term3,Math,73.7
S2036,Term3,English,72.1
S2036,Term3,Science,71.0
S2036,Term3,History,68.0
S2036,Term3,Computer Science,85.9
S2036,Term3,Economics,53.3
S2036,Term3,Biology,78.7
S2037,Term1,Math,56.7
S2037,Term1,English,72.5
S2037,Term1,Science,60.9
S2037,Term1,History,55.8
S2037,Term1,Computer Science,68.7
S2037,Term1,Economics,81.8
S2037,Term1,Biology,65.3
S2037,Term2,Math,61.7
S2037,Term2,English,60.9
S2037,Term2,Science,70.1
S2037,Term2,History,72.1
S2037,Term2,Computer Science,72.7
S2037,Term2,Economics,74.1
S2037,Term2,Biology,64.7
S2037,Term3,Math,75.0
S2037,Term3,English,87.9
S2037,Term3,Science,89.7
S2037,Term3,History,95.8
S2037,Term3,Computer Science,84.1
S2037,Term3,Economics,100.0
S2037,Term3,Biology,76.1
S2038,Term1,Math,58.2
S2038,Term1,English,75.2
S2038,Term1,Science,78.4
S2038,Term1,History,82.5
S2038,Term1,Computer Science,78.4
S2038,Term1,Economics,80.9
S2038,Term1,Biology,71.0
S2038,Term2,Math,80.2
S2038,Term2,English,92.0
S2038,Term2,Science,72.2
S2038,Term2,History,73.4
S2038,Term2,Computer Science,66.1
S2038,Term2,Economics,63.1
S2038,Term2,Biology,93.3
S2038,Term3,Math,63.8
S2038,Term3,English,61.2
S2038,Term3,Science,72.7
S2038,Term3,History,67.5
S2038,Term3,Computer Science,46.3
S2038,Term3,Economics,61.4
S2038,Term3,Biology,60.7
S2039,Term1,Math,85.8
S2039,Term1,English,95.7
S2039,Term1,Science,91.2
S2039,Term1,History,66.2
S2039,Term1,Computer Science,71.0
S2039,Term1,Economics,86.0
S2039,Term1,Biology,83.6
S2039,Term2,Math,67.2
S2039,Term2,English,60.3
S2039,Term2,Science,55.3
S2039,Term2,History,61.9
S2039,Term2,Computer Science,51.4
S2039,Term2,Economics,53.1
S2039,Term2,Biology,69.1
S2039,Term3,Math,43.2
S2039,Term3,English,62.4
S2039,Term3,Science,43.8
S2039,Term3,History,55.2
S2039,Term3,Computer Science,45.3
S2039,Term3,Economics,42.8
S2039,Term3,Biology,54.9
S2040,Term1,Math,78.1
S2040,Term1,English,63.5
S2040,Term1,Science,79.8
S2040,Term1,History,73.4
S2040,Term1,Computer Science,83.7
S2040,Term1,Economics,97.5
S2040,Term1,Biology,85.5
S2040,Term2,Math,41.7
S2040,Term2,English,47.3
S2040,Term2,Science,56.2
S2040,Term2,History,50.0
S2040,Term2,Computer Science,60.3
S2040,Term2,Economics,63.0
S2040,Term2,Biology,55.8
S2040,Term3,Math,80.6
S2040,Term3,English,68.3
S2040,Term3,Science,64.4
S2040,Term3,History,72.3
S2040,Term3,Computer Science,70.2
S2040,Term3,Economics,60.2
S2040,Term3,Biology,73.7
S2041,Term1,Math,52.9
S2041,Term1,English,62.0
S2041,Term1,Science,66.3
S2041,Term1,History,57.3
S2041,Term1,Computer Science,53.4
S2041,Term1,Economics,58.3
S2041,Term1,Biology,58.0
S2041,Term2,Math,73.2
S2041,Term2,English,67.1
S2041,Term2,Science,65.3
S2041,Term2,History,59.4
S2041,Term2,Computer Science,53.2
S2041,Term2,Economics,60.3
S2041,Term2,Biology,77.3
S2041,Term3,Math,75.0
S2041,Term3,English,65.8
S2041,Term3,Science,95.7
S2041,Term3,History,69.3
S2041,Term3,Computer Science,81.1
S2041,Term3,Economics,79.1
S2041,Term3,Biology,76.9
S2042,Term1,Math,67.0
S2042,Term1,English,69.3
S2042,Term1,Science,66.9
S2042,Term1,History,81.3
S2042,Term1,Computer Science,74.9
S2042,Term1,Economics,78.5
S2042,Term1,Biology,71.1
S2042,Term2,Math,54.2
S2042,Term2,English,65.8
S2042,Term2,Science,94.3
S2042,Term2,History,76.0
S2042,Term2,Computer Science,57.9
S2042,Term2,Economics,61.4
S2042,Term2,Biology,65.0
S2042,Term3,Math,39.6
S2042,Term3,English,62.8
S2042,Term3,Science,21.3
S2042,Term3,History,52.9
S2042,Term3,Computer Science,43.2
S2042,Term3,Economics,43.5
S2042,Term3,Biology,65.9
S2043,Term1,Math,54.7
S2043,Term1,English,55.1
S2043,Term1,Science,48.1
